label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,note,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,091215_0i,091215_0M,091215_1i,091215_1M,091215_3i,091215_3M,091215_5i,091215_5M,091215_15i,091215_15M,091215_45i,091215_45M,091215_120i,091215_120M,091215_240i,091215_240M
,0,1,4,808.1191,15.86441,0.8287114,C12 PARENT,Acetyl CoA,HMDB01206,C23H38N7O17P3S,0.004406929,0.7552748,808.1191,5367.899,4711.324,4161.432,3774.777,1794.735,6808.693,2621.898,4674.641,2517.229,4254.374,2095.991,5505.555,1280.698,3513.453,2184.308,3156.327
,0,2,4,809.1229,15.87298,0.8285909,C13-label-1,Acetyl CoA,HMDB01206,C23H38N7O17P3S,0.01298141,1.206941,808.1191,1003.555,1177.852,1128.872,1011.079,273.9748,1778.936,984.978,1048.766,683.236,975.0424,706.9973,1324.443,534.4962,551.9457,328.3502,697.7847
,0,3,3,810.1253,15.86621,0.8410999,C13-label-2,Acetyl CoA,HMDB01206,C23H38N7O17P3S,0.006209373,0.0753404,808.1191,131.6266,208.7372,297.8701,0.0,909.0418,227.7582,1750.041,152.8209,3069.896,0.0,2930.785,0.0,3207.289,345.2101,3212.55,215.1744
,0,4,1,811.1297,15.8581,0.6704182,C13-label-3,Acetyl CoA,HMDB01206,C23H38N7O17P3S,0.001900673,1.35445,808.1191,0.0,0.0,0.0,0.0,0.0,0.0,300.167,0.0,415.9005,0.0,401.2025,0.0,864.4028,0.0,466.3895,0.0
,0,5,0,814.1334,15.9592,0.09700405,C13-label-6,Acetyl CoA,HMDB01206,C23H38N7O17P3S,0.09920025,6.447333,808.1191,0.0,0.0,163.4459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0,6,0,815.136,15.8599,0.08152265,C13-label-7,Acetyl CoA,HMDB01206,C23H38N7O17P3S,9.918213e-05,7.412795,808.1191,0.0,0.0,0.0,0.0,0.0,0.0,167.9432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.1945,0.0
,0,7,0,823.1631,15.9137,0.06526061,C13-label-15,Acetyl CoA,HMDB01206,C23H38N7O17P3S,0.05370045,6.895632,808.1191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0,8,0,826.179,15.932,0.09957491,C13-label-18,Acetyl CoA,HMDB01206,C23H38N7O17P3S,0.07200146,0.07387644,808.1191,0.0,329.3119,355.3971,373.239,472.7161,0.0,308.936,573.0131,0.0,0.0,190.6654,935.9506,0.0,0.0,0.0,0.0
,0,9,0,827.1849,15.9289,0.09845804,C13-label-19,Acetyl CoA,HMDB01206,C23H38N7O17P3S,0.06890011,3.24662,808.1191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0,10,0,828.1815,15.9565,0.09198587,C13-label-20,Acetyl CoA,HMDB01206,C23H38N7O17P3S,0.0965004,5.011425,808.1191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.5004,0.0,0.0,0.0,0.0
